offset,pointers,japanese,english
0x112594,0xD7B74,ラグナ遺跡　橋,Laguna Ruins Bridge
0x112581,0xD7B78,地下水路脱出後　街,After Sewer: Town
0x11256E,0xD7B7C,地下水路脱出後　橋,After Sewer: Bridge
0x112555,0xD7B80,地下水路脱出後　地下水路,After Sewer: Waterway
0x112540,0xD7B84,地下水路脱出後　遺跡,After Sewer: Ruins
0x112531,0xD7B88,洞窟を抜けろ！,Through the Cave!
0x112520,0xD7B8C,明日はラグナ遺跡,Laguna Ruins Tomorrow
0x11250F,0xD7B90,ラグナ遺跡最上部,Laguna Ruins Summit
0x112502,0xD7B94,地下水路出口,Sewer Exit
0x1124FD,0xD7B98,母へ,To Mother
0x1124EC,0xD7B9C,宿屋で聞いたのに,The Inn Told Us
0x1124D7,0xD7BA0,遺跡の入り口を探して,Find the Ruins Entrance
0x1124C2,0xD7BA4,あの子を探して大神殿,Seeking Her: Grand Temple
0x1124AB,0xD7BA8,アイグレッテ港は反対だ,Aigrette Port Is Opposite
0x11249E,0xD7BAC,リーネの中で,Inside Lien
0x112495,0xD7BB0,落ち着け,Calm Down
0x11247E,0xD7BB4,デートはハイデルベルグ,A Date in Heidelberg
0x112477,0xD7BB8,襲撃！,Attack!
0x112462,0xD7BBC,ここはアイグレッテ？,Is This Aigrette?
0x11244B,0xD7BC0,まだホープタウンで\\\\,Still in Hope Town\\\\
0x11243E,0xD7BC4,レンズはまだ,"The Lens, Still"
0x11242B,0xD7BC8,ウッドロウに真相を,The Truth for Woodrow
0x112418,0xD7BCC,船じゃ追いつけない,A Ship Can't Catch Up
0x112405,0xD7BD0,あのドームは何だ？,What's That Dome?
0x1123EE,0xD7BD4,あの赤いドームは\\\\？,That Red Dome\\\\?
0x1123DB,0xD7BD8,レアルタに行くぞ!!,To Realta!!
0x1123D2,0xD7BDC,山道です,Mountain Path
0x1123BB,0xD7BE0,ラディスロウへ行くわよ,We're Off to Radisrol
0x1123AC,0xD7BE4,格納庫に行くよ,To the Hangar
0x112399,0xD7BE8,ダイクロフト牢屋前,Dycroft Prison Gate
0x112386,0xD7BEC,スパイラルケイブに,To Spiral Cave
0x11237F,0xD7BF0,工兵隊,Engineers
0x112370,0xD7BF4,こっちじゃない,Not This Way
0x11235F,0xD7BF8,こっちじゃねぇよ,"Not This Way, Man"
0x11234E,0xD7BFC,こっちじゃないぞ,"Not This Way, Kid"
0x112339,0xD7C00,こっちじゃないわよ？,"Not This Way, Is It?"
0x112328,0xD7C04,こっちじゃないよ,It's Not This Way
0x112313,0xD7C08,こっちじゃないでしょ,Surely Not This Way
0x1122FE,0xD7C0C,ラグナ遺跡ってどこ？,Where's Laguna Ruins?
0x1122EB,0xD7C10,ダリルシェイド地下,Darilsheid Underground
0x1122E2,0xD7C14,地下水路,Waterway
0x1122D3,0xD7C18,脱出～クレスタ,Escape to Cresta
0x1122BC,0xD7C1C,クレスタ～アイグレッテ,Cresta to Aigrette
0x1122A5,0xD7C20,ソーサラーリングで撃て,Shoot the Sorcerer's Ring
0x11228E,0xD7C24,あの子はアイグレッテに,She's in Aigrette
0x112279,0xD7C28,アイグレッテ宿屋へ１,To Aigrette Inn 1
0x112268,0xD7C2C,神のたまごは\\\\,God's Egg Is\\\\
0x112253,0xD7C30,アイグレッテ宿屋へ２,To Aigrette Inn 2
0x112246,0xD7C34,宿屋で聞いた,Heard at the Inn
0x112231,0xD7C38,ストレイライズ遺跡へ,To Straylize Ruins
0x11221E,0xD7C3C,アイグレッテ港へ１,To Aigrette Port 1
0x112207,0xD7C40,とにかく甲板に行こう！,Just Get to the Deck!
0x1121F2,0xD7C44,リリスの家で朝ゴハン,Breakfast at Lilith's
0x1121DD,0xD7C48,ノイシュタットの港へ,To Neuestadt Port
0x1121CE,0xD7C4C,港で何か\\\\？,Something at the Port?
0x1121C1,0xD7C50,商人の依頼２,Merchant's Request 2
0x1121B4,0xD7C54,廃坑に行くぞ,To the Abandoned Mine
0x1121A5,0xD7C58,どこかにお宝が,Treasure Somewhere
0x11218E,0xD7C5C,あとは商人に届けるだけ,Just Deliver It Now
0x112173,0xD7C64,そろそろ船が出港できるか？,Can the Ship Sail Yet?
0x112162,0xD7C68,準備して出航だ！,Get Ready and Sail!
0x112149,0xD7C6C,ハイデルベルグを目指せ１,Head for Heidelberg 1
0x112134,0xD7C70,ウッドロウ王はいずこ,Where Is King Woodrow?
0x112120,0xD7C74,何を言ったの<Loni>？,"What Did You Say, <Loni>?"
0x112113,0xD7C78,いよいよ謁見,The Audience at Last
0x112100,0xD7C7C,あの子を追いかけろ,Chase After Her
0x1120F5,0xD7C80,話を聞こう,Let's Hear It
0x1120E4,0xD7C84,謁見後、熱冷めぬ,Still Fired Up
0x1120D1,0xD7C88,公園に行きましょう,Let's Go to the Park
0x1120BC,0xD7C8C,未来定期船\<Reala>は？,Future Ferry\Where's <Reala>?
0x1120A3,0xD7C90,あたしの村への行きかた３,The Way to My Village 3
0x112086,0xD7C94,トラッシュマウンテンをぬけて,Through Trash Mountain
0x112075,0xD7C98,現代に戻ってきて,Back to the Present
0x112066,0xD7C9C,レンズがない！,The Lens Is Gone!
0x112057,0xD7CA0,城で一泊しよう,A Night at the Castle
0x112042,0xD7CA4,地上軍拠点跡地にて３,At the Er'ther Base Ruins 3
0x112037,0xD7CA8,封印を解け,Break the Seal
0x11202C,0xD7CAC,海岸の洞窟,Coastal Cave
0x11201F,0xD7CB0,光のほこらへ,To the Shrine of Light
0x11200F,0xD7CB4,<Nanaly>精神世界４,<Nanaly>'s Mindscape 4
0x111FFF,0xD7CB8,<Nanaly>精神世界８,<Nanaly>'s Mindscape 8
0x111FE8,0xD7CBC,奥の建物で紹介するわよ,I'll Introduce You Inside
0x111FDB,0xD7CC0,資材を取りに,Fetch Materials
0x111FC4,0xD7CC4,地上軍拠点～物資保管所,Base to Storehouse
0x111FB1,0xD7CC8,資材集めが今の目的,Gathering Materials
0x111FA2,0xD7CCC,地下水路は確か,"The Waterway, Right"
0x111F8F,0xD7CD0,マスターキー入手後,After the Master Key
0x111F7E,0xD7CD4,ダリルシェイドへ,To Darilsheid
0x111F73,0xD7CD8,資材入手５,Materials 5
0x111F5E,0xD7CDC,ロケット作りの報告へ,Report on the Rocket
0x111F47,0xD7CE0,飛べ飛べ！　ロケット３,"Fly, Fly! Rocket 3"
0x111F32,0xD7CE4,スパイラルケイブへ５,To Spiral Cave 5
0x111F1F,0xD7CE8,ソーディアン完成３,Swordian Complete 3
0x111F14,0xD7CEC,決戦前夜３,Eve of Battle 3
0x111EF0,0xD7CF4,「神の眼」まで急ごう！,Hurry to the Eye of Atamoni!
0x111EE3,0xD7CF8,城でまた一泊,Another Castle Night
0x111ED0,0xD7CFC,今、何かが見えた？,Did You See Something?
0x111EBD,0xD7D00,再度未来に行くには,To the Future Again
0x111EAC,0xD7D04,エルレインを追え,Chase Elrane
0x111E95,0xD7D08,神殿の奥にエルレインが,Elrane Deep in the Temple
0x111E86,0xD7D0C,神殿にいるはず,She's in the Temple
0x111E6D,0xD7D10,アイグレッテに向かうには,How to Reach Aigrette
0x111E56,0xD7D14,英雄に聞く（フィリア）,Ask a Hero (Philia)
0x111E3F,0xD7D18,英雄に聞く（ルーティ）,Ask a Hero (Rutee)
0x111E30,0xD7D1C,あの場所へ\\\\,To That Place\\\\
0x111E21,0xD7D20,出現したって!?,It Appeared!?
0x111E16,0xD7D24,崖の恐怖！,Terror of the Cliff!
0x111E03,0xD7D28,神のたまご最深部へ,Depths of God's Egg
0x111DFA,0xD7D2C,鏡の中へ,Into the Mirror
0x111DE9,0xD7D44,エルレイン間近？,Elrane Is Close?
0x111DDE,0xD7D48,下層部突入,Into the Lower Level
0x111DD1,0xD7D4C,ラグナ遺跡に,To Laguna Ruins
0x111DC0,0xD7D50,地上への出口へは,To the Surface Exit
0x111DB2,0xD7D54,<Kyle>自己紹介,<Kyle> Introduces
0x111DA4,0xD7D58,<Reala>自己紹介,<Reala> Introduces
0x111D96,0xD7D5C,<Loni>自己紹介,<Loni> Introduces
0x111D88,0xD7D60,<Judas>自己紹介,<Judas> Introduces
0x111D7A,0xD7D64,<Nanaly>自己紹介,<Nanaly> Introduces
0x111D6C,0xD7D68,<Harold>自己紹介,<Harold> Introduces
0x111D57,0xD7D6C,崖をとびうつれば\\\\,If You Leap the Cliff\\\\
0x111D42,0xD7D70,あれがアイグレッテか,So That's Aigrette
0x111D39,0xD7D74,あの台座,That Pedestal
0x111D26,0xD7D78,すんなり通りたいな,I'd Rather Slip By
0x111D0F,0xD7D7C,衛兵に見つかったら\\\\,If the Guards See Us\\\\
0x111CFC,0xD7D80,アイグレッテ港へ２,To Aigrette Port 2
0x111CEF,0xD7D84,迷いやすいぞ,Easy to Get Lost
0x111CD8,0xD7D88,ワールドマップ使用方法,Using the World Map
0x111CC9,0xD7D8C,すごい霧ね\\\\,What a Fog\\\\
0x111CB8,0xD7D90,コンテナの押し方,How to Push Containers
0x111CA7,0xD7D94,オベロン社廃坑へ,To the Oberon Mine
0x111C94,0xD7D98,設備は生きている？,Is the Gear Still Live?
0x111C85,0xD7D9C,お宝探索の基本,Treasure Hunting 101
0x111C6C,0xD7DA0,ハイデルベルグを目指せ２,Head for Heidelberg 2
0x111C59,0xD7DA4,城下町を観光しよう,Tour the Castle Town
0x111C40,0xD7DA8,あたしの村への行きかた１,The Way to My Village 1
0x111C27,0xD7DAC,あたしの村への行きかた２,The Way to My Village 2
0x111C0C,0xD7DB0,こんな暑い中にずっといたら,Out in This Heat All Day
0x111BFF,0xD7DB4,バテてないで,Don't Wear Out
0x111BE0,0xD7DB8,橋が通れるようになったはずだよ,The Bridge Should Be Open
0x10F293,0xC7118,シナリオ名称入力予約３,Scenario Name Reserve 3
0x10F28A,0xC711C,よやく３,Reserve 3
