file,offset,budget,pinned,japanese,english
06185.sfm,0x4BBB,18,,わすれちまったか？,Forgot already?
06185.sfm,0x4C0D,10,,ヴァサーゴ,Vassago
06185.sfm,0x4C18,10,,ヴェパール,Vepar
06185.sfm,0x4C23,16,,エルダードラゴン,Elder Dragon
06185.sfm,0x4C34,16,,ストーアウォーム,Stoa Worm
06185.sfm,0x4C45,54,,"こいつとの戦いで、
スピリッツの特性を
意識したんだよな","Fighting that thing is when we
started paying attention to
how the Spirit Gauge works."
06185.sfm,0x4C7C,51,,"ストレイライズ神殿で
フィリアさんを襲ったのは誰だ？","Who attacked Philia at
the Straylize Temple?"
06185.sfm,0x4CB0,10,,バルバトス,Barbatos
06185.sfm,0x4CBB,6,,オーガ,An ogre
06185.sfm,0x4CC2,10,,バシュカー,Bashkar
06185.sfm,0x4CCD,10,,スペクター,A specter
06185.sfm,0x4CD8,49,,"ったく、美女を襲うなんて
男の風上にも置けないよな","Sheesh, attacking a beautiful
woman. Disgrace to men everywhere."
06185.sfm,0x4D0A,50,,"あのときも<Judas>
に助けられたんだぞ覚えてないのか？","<Judas> saved us back then
too. Don't you remember?"
06185.sfm,0x4D3D,55,,"ヒートリバー源流で岩をどかした後
出てきたモンスターは？","After moving the rock at the source
of Heat River, what monster came out?"
06185.sfm,0x4D75,10,,サブノック,Sabnock
06185.sfm,0x4D80,12,,フォルネウス,Forneus
06185.sfm,0x4D8D,33,,"そうそう！
なんとか倒したけどな！","Yeah, yeah!
We managed to beat it, though!"
06185.sfm,0x4DAF,43,,"ダリルシェイド地下水道で
戦った気がするぜ？","Pretty sure we fought that in the
Darilsheid Underground Waterway."
06185.sfm,0x4DDB,41,,"ハイデルベルグ城が襲われた時に
戦ったよな","We fought that when
Heidelberg Castle was attacked."
06185.sfm,0x4E05,16,,定期船だったぜ？,That was on the ferry.
06185.sfm,0x4E16,47,,"ハイデルベルグ城で戦った
「信念の騎士」は誰だ？","Who was the 'Knight of Conviction'
we fought at Heidelberg Castle?"
06185.sfm,0x4E46,8,,サマナー,Summoner
06185.sfm,0x4E4F,16,,ディープランサー,Deep Lancer
06185.sfm,0x4E60,14,,センチュリオン,Centurion
06185.sfm,0x4E6F,48,,"サブノックとオセ
こいつらホントに
いいコンビだよ","Sabnock and Ose.
Those two really are
a great duo."
06185.sfm,0x4EA0,35,,"サブノックとオセ
わすれちまったか？","Sabnock and Ose.
Forgot already?"
06185.sfm,0x4EC4,20,,サブノックの相棒は？,Who is Sabnock's partner?
06185.sfm,0x4ED9,4,,オセ,Ose
06185.sfm,0x4EDE,12,,ギガントード,Giga Toad
06185.sfm,0x4EEB,10,,ドーマウス,Dormouse
06185.sfm,0x4EF6,14,,ネクロノミコン,Necronomicon
06185.sfm,0x4F05,39,,"こいつから倒さないと
すごい苦労するよな","If you don't take this one down
first, you're in for a rough time."
06185.sfm,0x4F2D,39,,"ヒートリバーで水を
せき止めていたのは？","What was damming the water
in Heat River?"
06185.sfm,0x4F55,10,,クラーケン,Kraken
06185.sfm,0x4F60,8,,イセエビ,Spiny Lobster
06185.sfm,0x4F9E,42,,"俺と<Kyle>が
捕まった場所はどこの街の地下？","Under which town were
<Kyle> and I captured?"
06185.sfm,0x4FC9,12,,アイグレッテ,Aigrette
06185.sfm,0x4FD6,6,,リーネ,Lienea
06185.sfm,0x4FDD,14,,ノイシュタット,Neuestadt
06185.sfm,0x4FEC,12,,スノーフリア,Snowfria
06185.sfm,0x4FF9,42,,"そういや<Judas>は
何であそこにいたんだろうな","Come to think of it, why
was <Judas> even down there?"
06185.sfm,0x5024,12,,時間切れだな,Time's up.
06185.sfm,0x5031,52,,"四英雄の一人
フィリアさんがつけて
いたのは何だった？","What did Philia, one of
the Four Heroes,
wear?"
06185.sfm,0x5066,6,,リボン,A ribbon
06185.sfm,0x506D,10,,ペンダント,A pendant
06185.sfm,0x5078,62,,"眼鏡の似合う知的美人
清楚なお姉さん･･････
････････････いいなぁ","An intellectual beauty in glasses,
a refined lady......
............Man, I'm jealous."
06185.sfm,0x50B7,57,,"ダリルシェイドの隠し通路を抜
けるために使ったアイテムは？","What item did we use to get
through the hidden passage in Darilsheid?"
06185.sfm,0x50F1,14,,スペクタクルズ,Spectacles
06185.sfm,0x5100,8,,ツルハシ,Pickaxe
06185.sfm,0x5109,49,,"ホント
<Judas>がいなかったら
今ごろどうなっていたか","Seriously, if <Judas> hadn't
been there, who knows what
would've happened to us."
06185.sfm,0x513B,54,,"俺たちが
ダリルシェイドの地下で
出会ったのは誰だった？","Who did we meet
underneath
Darilsheid?"
06185.sfm,0x517A,6,,リリス,Lilith
06185.sfm,0x5181,14,,それはないだろ,No way.
06185.sfm,0x5190,48,,"ソーサラーリングを
もらっただろ？
仮面ヤローだよ","He gave us the Sorcerer's
Ring, remember?
The masked guy."
06185.sfm,0x51C1,29,,<Kyle>の冒険のスタート地点は？,Where did <Kyle>'s adventure begin?
06185.sfm,0x51DF,10,,ラグナ遺跡,Laguna Ruins
06185.sfm,0x51EA,16,,ちゃんとやろうぜ,Do this properly.
06185.sfm,0x51FB,48,,"ラグナ遺跡で俺と<Kyle>が
ひっかかったトラップは？","What trap did <Kyle> and I
fall for in the Laguna Ruins?"
06185.sfm,0x522C,8,,落とし穴,A pitfall
06185.sfm,0x5235,6,,毒ガス,Poison gas
06185.sfm,0x523C,16,,間違ったカンバン,A misleading sign
06185.sfm,0x524D,8,,すべる床,A slippery floor
06185.sfm,0x5256,24,,あんときゃマヌケだったな,We were pretty dumb back then.
06185.sfm,0x526F,22,,すべったわけではないぞ,We didn't slip.
06185.sfm,0x5286,78,,"ラグナ遺跡で、落とし穴に引っかかる
直前に宝箱に入っていたアイテムは
何だった？","In the Laguna Ruins, what item was in
the treasure chest right before we
fell into the pitfall?"
06185.sfm,0x52D5,12,,アップルグミ,Apple Gummy
06185.sfm,0x52E2,12,,ライフボトル,Life Bottle
06185.sfm,0x52EF,12,,オレンジグミ,Orange Gummy
06185.sfm,0x52FC,12,,エリクシール,Elixir
06185.sfm,0x5309,35,,"そんないい物が
入ってるわけないだろ","No way something that
good was in there."
06185.sfm,0x532D,39,,"<Kyle>と<Reala>が
初めて出会ったのはどこ？","Where did <Kyle> and <Reala>
first meet?"
06185.sfm,0x5355,18,,ハーメンツヴァレー,Harmentz Valley
06185.sfm,0x5368,36,,"遺跡の最上階で
<Reala>と会ったんだよな","We met <Reala> on the
top floor of the ruins."
06185.sfm,0x538D,37,,"エルレインは、皆に
何と敬われている？","What does everyone revere
Elrane as?"
06185.sfm,0x53B3,10,,輝きの聖女,Radiant Holy Woman
06185.sfm,0x53BE,14,,きらめきの聖女,Glittering Holy Woman
06185.sfm,0x53CD,10,,瞬きの聖女,Twinkling Holy Woman
06185.sfm,0x53D8,12,,セイジョサマ,Holy Womaaan
06185.sfm,0x53E5,32,,アイグレッテにある神殿の名前は？,What's the name of the temple in Aigrette?
06185.sfm,0x5406,18,,アイグレッテ大神殿,Aigrette Grand Temple
06185.sfm,0x5419,20,,スティングレイ大神殿,Stingray Grand Temple
06185.sfm,0x542E,18,,スターライト大神殿,Starlight Grand Temple
06185.sfm,0x5441,57,,"アタモニ神団の一員になるには
「何」を寄進する必要がある？","What do you have to donate to become
a member of the Order of Atamoni?"
06185.sfm,0x547B,6,,レンズ,Lens
06185.sfm,0x5482,6,,ガルド,Gald
06185.sfm,0x5489,12,,ルーンボトル,Rune Bottle
06185.sfm,0x5496,45,,"アイグレッテ～ファンダリアは
どうやって行く？","How do you get from
Aigrette to Phandaria?"
06185.sfm,0x54C4,8,,船を使う,By ship
06185.sfm,0x54CD,10,,徒歩で行く,On foot
06185.sfm,0x54D8,10,,飛んでいく,By flying
06185.sfm,0x54E3,14,,さんりんしゃ！,Tricycle!
06185.sfm,0x54F2,18,,そんなもんはねーよ,There's no such thing.
06185.sfm,0x5505,24,,闘技場のある街の名前は？,"What's the name of the town
with the arena?"
06185.sfm,0x551E,6,,リ－ネ,Lienea
06185.sfm,0x5525,39,,"スタンさんが
「伝説のチャンプ」だったな","Stahn was the
'Legendary Champ' there."
06185.sfm,0x554D,37,,"白雲の尾根は、年中
何に覆われている？","What covers the White Cloud Ridge
all year round?"
06185.sfm,0x5573,4,, 霧 ,Fog
06185.sfm,0x5578,4,, 雪 ,Snow
06185.sfm,0x557D,4,, 風 ,Wind
06185.sfm,0x5582,4,, 草 ,Grass
06185.sfm,0x5587,31,,"視界が悪くて
迷いやすい場所だな","Visibility's terrible. Easy
to get lost there."
06185.sfm,0x55A7,16,,寒くはなかったぞ,It wasn't cold.
06185.sfm,0x55B8,37,,"さわやかなイメージは
なかったと思うぞ","I don't think it felt
refreshing at all."
06185.sfm,0x55DE,37,,"どっちかというと
コケなら生えてたかな","If anything, there was
moss growing there."
06185.sfm,0x5604,20,,俺が苦手なものは何？,What am I bad with?
06185.sfm,0x5619,6,,おばけ,Ghosts
06185.sfm,0x5620,6,,ミミズ,Earthworms
06185.sfm,0x5627,4,,子供,Kids
06185.sfm,0x562C,4,,トリ,Birds
06185.sfm,0x5631,38,,"べ、べつに
怖いわけじゃ
な、ないぞ････","I-it's not like I'm
s-scared of them or
anything..."
06185.sfm,0x5658,36,,"たしか、<Reala>が
苦手なものだったかな","Pretty sure that's what
<Reala> can't stand."
06185.sfm,0x567D,41,,"子供は好きだぜ
本気でなぐってこなけりゃな","I like kids.
As long as they don't hit me for real."
06185.sfm,0x56A7,22,,これのどこが苦手なんだ,What's there to be bad with?
06185.sfm,0x56BE,57,,"オベロン社廃坑で見つけたのは
レンズの力を増幅する「何」？","What did we find in the Oberon Abandoned
Mine that amplifies Lens power? A 'what'?"
06185.sfm,0x56F8,4,,鉱石,Ore
06185.sfm,0x5707,4,,宝石,Gem
06185.sfm,0x570C,59,,"ハイデルベルグの武器屋の店主で
ある腕利きの鍛冶屋の名前は？","What's the name of the skilled blacksmith
who runs the weapon shop in Heidelberg?"
06185.sfm,0x5748,12,,ウィンターズ,Winters
06185.sfm,0x5755,8,,サマーズ,Summers
06185.sfm,0x575E,10,,オータムズ,Autumns
06185.sfm,0x5769,12,,スプリングズ,Springs
06185.sfm,0x5776,37,,"ハイデルベルグ城に突っ込んだ
ものは？","What crashed into
Heidelberg Castle?"
06185.sfm,0x579C,6,,飛行竜,A flying dragon
06185.sfm,0x57A3,6,,飛行獣,A flying beast
06185.sfm,0x57AA,6,,飛行魚,A flying fish
06185.sfm,0x57B1,6,,飛空挺,An airship
06185.sfm,0x57B8,41,,"<Kyle>と<Nanaly>が
出会ったのは何の式の途中？","<Kyle> and <Nanaly> met in the
middle of what kind of ceremony?"
06185.sfm,0x57E2,6,,出産式,A birthing ceremony
06185.sfm,0x57E9,6,,結婚式,A wedding
06185.sfm,0x57F0,6,,離婚式,A divorce ceremony
06185.sfm,0x57F7,6,,お葬式,A funeral
06185.sfm,0x57FE,8,,おしいな,Close.
06185.sfm,0x5807,31,,"そんなところで
出会いたくないな","I wouldn't want to meet
someone there."
06185.sfm,0x5827,44,,"俺と<Judas>が
<Nanaly>と出会ったのは
どこの大陸？","On which continent did
<Judas> and I meet
<Nanaly>?"
06185.sfm,0x5854,12,,カルバレイス,Calvalese
06185.sfm,0x5861,10,,カルビオラ,Kalviola
06185.sfm,0x586C,12,,ファンダリア,Phandaria
06185.sfm,0x5879,14,,フィッツガルド,Fitzgald
06185.sfm,0x5888,80,,"直前までファンダリアにいたから
当時俺ら厚着だったんだ
もう、ぶっ倒れそうだったぜ","We'd just come from Phandaria,
so we were all bundled up.
I thought I was gonna pass out."
06185.sfm,0x58D9,30,,「カルビオラ大陸」なんてないぞ,There's no 'Kalviola Continent'.
06185.sfm,0x58F8,37,,"その直前までは、
ファンダリアにいたな","We were in Phandaria
right before that."
06185.sfm,0x591E,27,,<Nanaly>の住んでいるところは？,Where does <Nanaly> live?
06185.sfm,0x593A,12,,ホープタウン,Hope Town
06185.sfm,0x5947,8,,チェリク,Cherik
06185.sfm,0x5950,74,,"先祖の天上人が天地戦争で
負けたため、あんな過酷な
土地に住んでいるんだよな","Her Aeth'er ancestors lost the
Aeth'er Wars, so they ended up
living on that harsh land."
06185.sfm,0x599B,66,,"チェリクからホープタウンに
行くために、通る必要のある
川の名前は？","What's the name of the river you
have to cross to get from
Cherik to Hope Town?"
06185.sfm,0x59DE,12,,ヒートリバー,Heat River
06185.sfm,0x59EB,12,,ホットリバー,Hot River
06185.sfm,0x59F8,16,,バーニングリバー,Burning River
06185.sfm,0x5A09,12,,マグマリバー,Magma River
06185.sfm,0x5A16,13,,辛そうだな･･･,Sounds spicy...
06185.sfm,0x5A24,18,,燃えてそうだな････,Sounds like it's on fire...
06185.sfm,0x5A37,16,,川じゃないな････,That's not a river...
06185.sfm,0x5A48,34,,"<Nanaly>が付けた
俺のニックネームは？","What nickname did
<Nanaly> give me?"
06185.sfm,0x5A6B,11,,すけべ<Loni>,Pervy <Loni>
06185.sfm,0x5A77,11,,エッチ<Loni>,Dirty <Loni>
06185.sfm,0x5A83,11,,女好き<Loni>,Skirt-Chaser <Loni>
06185.sfm,0x5A8F,8,,ナンパ師,Pickup Artist
06185.sfm,0x5A98,18,,････失礼な（正解）,...How rude. (Correct)
06185.sfm,0x5AAB,10,,････失礼な,...How rude.
06185.sfm,0x5AB6,37,,"<Nanaly>が付けた
<Judas>のニックネームは？","What nickname did <Nanaly>
give <Judas>?"
06185.sfm,0x5ADC,14,,仮面ストーカー,Masked Stalker
06185.sfm,0x5AEB,12,,カーメンマン,Kamen Man
06185.sfm,0x5AF8,11,,クール<Judas>,Cool <Judas>
06185.sfm,0x5B04,36,,"そうそう
これに関しては
俺も同意見だ","Yeah, yeah.
I'm with her
on that one."
06185.sfm,0x5B29,30,,"<Nanaly>はそんなの
つけていないぞ","<Nanaly> never called
him that."
06185.sfm,0x5B48,20,,拳法とか使いそうだな,Sounds like he'd know kung fu.
06185.sfm,0x5B5D,33,,"<Kyle>と<Reala>の
初デートの場所は？","Where was <Kyle> and
<Reala>'s first date?"
06185.sfm,0x5B7F,4,,公園,The park
06185.sfm,0x5B84,6,,闘技場,The arena
06185.sfm,0x5B8B,8,,船の甲板,The ship's deck
06185.sfm,0x5B94,4,, 港 ,The harbor
06185.sfm,0x5B99,20,, ハーメンツヴァレー ,Harmentz Valley
06185.sfm,0x5BAE,71,,"････ブツブツ･･････
（クッソー･･････
　･･この俺さまを
　さしおいて････）","...Grumble grumble...
(Dammit...
 ..leaving ME
 out of it...)"
06185.sfm,0x5BF6,16,,そこじゃねーよ！,Not there!
06185.sfm,0x5C07,10,,おしいな！,Close!
06185.sfm,0x5C12,10,,どこだよ？,Where's that?
06185.sfm,0x5C1D,18,,デートじゃねーだろ,That's not a date.
06185.sfm,0x5C30,25,,"時間切れだっ
へんっ･･････","Time's up.
Hmph......"
06185.sfm,0x5C4A,52,,"<Reala>が定期船を浮かせた時に
得た称号って、何だった？","What title did <Reala> get when
she made the ferry float?"
06185.sfm,0x5C7F,10,,奇跡の少女,Miracle Girl
06185.sfm,0x5C8A,8,,寝ぼすけ,Sleepyhead
06185.sfm,0x5C93,15,,つむじ風の<Reala>,Whirlwind <Reala>
06185.sfm,0x5CA3,12,,不思議な少女,Mysterious Girl
06185.sfm,0x5CB0,10,,仮面の少女,Masked Girl
06185.sfm,0x5CBB,8,,聖女志願,Aspiring Holy Woman
06185.sfm,0x5CC4,26,,まさにあれは奇跡だったよな,That really was a miracle.
06185.sfm,0x5CDF,23,,そりゃ<Kyle>のことだよな,"That's <Kyle>, isn't it?"
06185.sfm,0x5CF7,22,,つむじ風は俺だよ、俺！,Whirlwind is me! ME!
06185.sfm,0x5D0E,16,,う～ん、惜しいな,"Hmm, close."
06185.sfm,0x5D1F,53,,"何故、素顔を隠すのか････
じゃねぇ！
それじゃ<Judas>だ！","Why hide her face...
no, wait!
That's <Judas>!"
06185.sfm,0x5D55,22,,志願というか････なぁ？,Aspiring... well... you know?
06185.sfm,0x5D6C,32,,な～んとなくでも、わかんねぇか？,Can't you get even a vague idea?
06185.sfm,0x5D8D,56,,"ノイシュタットの闘技場の
受付の女の子の名前
覚えてるか？","Remember the name of the
receptionist girl at the
Neuestadt arena?"
06185.sfm,0x5DC6,14,,エントリー娘。,Entry Girl.
06185.sfm,0x5DD5,6,,受付嬢,Receptionist
06185.sfm,0x5DDC,6,,受付係,Front Desk Clerk
06185.sfm,0x5DE3,12,,エントリー娘,Entry Girl
06185.sfm,0x5DF0,14,,コロシアム娘。,Colosseum Girl.
06185.sfm,0x5DFF,16,,エントリー記念日,Entry Anniversary
06185.sfm,0x5E10,52,,"正解！！
････何かどっかで聞いたこと
あるんだよなぁ？","Correct!!
...I feel like I've heard
that somewhere before."
06185.sfm,0x5E45,35,,"まあ、普通に考えりゃ
そうなんだがな","Well, that's what you'd
normally think."
06185.sfm,0x5E69,33,,"惜しい！
イイ線いってるんだがなぁ","Close!
You're on the right track."
06185.sfm,0x5E8B,39,,"それはもうすでに
人の名前じゃねぇな････","That's not even
a person's name..."
06185.sfm,0x5EB3,68,,"残念、時間切れ
なーんかどっかで聞いたこと
あるんだよなぁ、この名前？","Too bad, time's up.
I feel like I've heard
this name somewhere..."
06185.sfm,0x5EF8,62,,"スタンさんの妹
リリスさんの家の風呂を
のぞいてたのって、誰だ？","Who was peeping into the bath at
the house of Stahn's sister,
Lilith?"
06185.sfm,0x5F37,10,,のぞき勇者,Peeping Champion
06185.sfm,0x5F42,8,,のぞき王,Peeping King
06185.sfm,0x5F4B,8,,のぞき神,Peeping God
06185.sfm,0x5F5F,10,,のぞキング,Peep-King
06185.sfm,0x5F6A,10,,のぞき親父,Peeping Geezer
06185.sfm,0x5F75,18,,のぞきチャンピオン,Peeping Champ
06185.sfm,0x5F88,62,,"正解！だ！
リリスさんのサンダーソードで
こらしめられてたよな！","Correct!
Lilith taught him a lesson
with her Thunder Sword!"
06185.sfm,0x5FC7,18,,ちょっと惜しいな！,Close!
06185.sfm,0x5FDA,10,,王かよ！？,King!?
06185.sfm,0x5FE5,39,,"神にまでのぼりつめちゃ
マズイよなぁ････","Climbing all the way up to
godhood is a bit much..."
06185.sfm,0x600D,14,,飢えてんのか？,Are you starving?
06185.sfm,0x601C,37,,"横文字まぜればいいってもん
じゃないぜ","Mixing in fancy words
doesn't make it right."
06185.sfm,0x6042,16,,ヤバそうだぜ････,That sounds bad...
06185.sfm,0x6053,37,,"誰が決めるんだよ
チャンピオンだなんて","Who decides that,
champion or not?"
06185.sfm,0x6079,35,,"知らなかったじゃ
すまされないぜ！？","'I didn't know' won't
cut it, you know!?"
06185.sfm,0x609D,71,,"リアラを目撃した
ハーメンツヴァレーの商人は
<Reala>のことを何て言ってた？","How did the merchant in Harmentz
Valley who saw <Reala>
describe her?"
06185.sfm,0x60E5,20,,ピンクの服着た女の子,A girl in pink clothes
06185.sfm,0x60FA,18,,聖女のような女の子,A girl like a Holy Woman
06185.sfm,0x610D,16,,スカートの女の子,A girl in a skirt
06185.sfm,0x611E,14,,カワイイ女の子,A cute girl
06185.sfm,0x612D,20,,好みのタイプの女の子,A girl who's just his type
06185.sfm,0x6142,14,,赤い靴の女の子,A girl in red shoes
06185.sfm,0x6151,26,,そうそう、そうだったよな！,"Yeah, yeah, that's right!"
06185.sfm,0x616C,14,,みやぶったか！,"Saw right through her, huh!"
06185.sfm,0x617B,20,,はいてるな、スカート,"She does wear a skirt, yeah."
06185.sfm,0x6190,24,,ま、確かにカワイイけどよ,"Well, she IS cute, but..."
06185.sfm,0x61A9,32,,そんなこと言われても困るよな････,That's not much to go on...
06185.sfm,0x61CA,41,,"ちょっと違うな
まぁそういうニュアンスだよ","Not quite.
That's the gist of it, though."
06185.sfm,0x61F4,54,,"<Reala>に関することなら
何でも答えられるようにしとけよ！","You'd better be able to answer
anything about <Reala>!"
06185.sfm,0x629B,4,,後悔,Regret
06185.sfm,0x62A0,4,,謝罪,Apology
06185.sfm,0x62A5,4,,勉強,Studying
06185.sfm,0x62AF,4,,団結,Unity
06185.sfm,0x62B4,4,,成功,Success
06185.sfm,0x62B9,4,,料理,Cooking
06185.sfm,0x62BE,4,,救助,Rescue
06185.sfm,0x62C3,39,,"さすがルーティさん！
いいこと言うよな～","That's Rutee for you!
She says the best things~"
06185.sfm,0x62EB,16,,あやまっとけって,Just apologize already.
06185.sfm,0x62FC,66,,"確かにあんまり好きじゃねぇが
しなくていいってことは
ない気がするぜ","I'm not a big fan of it either,
but I don't think that means
you can skip it."
06185.sfm,0x634E,35,,"団結することは
大事なんじゃねぇかな","Sticking together is
important, I'd say."
06185.sfm,0x6372,33,,"成功するに
こしたことはないよな！","Nothing beats success, right!"
06185.sfm,0x6394,30,,"<Kyle>
料理なんて教わったのか？","<Kyle>,
who taught you to cook?"
06185.sfm,0x63B3,45,,"いいのか････？
そんなんじゃ英雄になれないぞ！","Are you okay with that...?
You'll never be a hero like that!"
06185.sfm,0x63E1,31,,"オイオイ
もう忘れちまったのかよ","Hey, hey,
you forgot already?"
06185.sfm,0x6401,54,,"定期船に乗ってた
自称予言者のオッサン
何て名前だった？","What was the name of the
self-proclaimed prophet
guy on the ferry?"
06185.sfm,0x6438,14,,サバディーチョ,Sabadicho
06185.sfm,0x6447,14,,サケディーチョ,Sakedicho
06185.sfm,0x6456,14,,アジディーチョ,Ajidicho
06185.sfm,0x6465,14,,マスディーチョ,Masudicho
06185.sfm,0x6474,14,,アユディーチョ,Ayudicho
06185.sfm,0x6483,14,,タイディーチョ,Taidicho
06185.sfm,0x6492,14,,フグディーチョ,Fugudicho
06185.sfm,0x64A1,14,,イカディーチョ,Ikadicho
06185.sfm,0x64B0,49,,"かならずあたるとか言ってたよな
うさんくせぇぜ････","He kept saying his prophecies
always come true. Shady..."
06185.sfm,0x64E2,14,,違うんだよな～,"Nope, that's not it~"
06185.sfm,0x64F1,14,,慎重になれよ！,Be more careful!
06185.sfm,0x6500,10,,全然違うぜ,Totally wrong.
06185.sfm,0x651A,8,,あちゃ～,Ouch~
06185.sfm,0x6523,10,,違う違う！,"No, no!"
06185.sfm,0x652E,14,,そりゃないぜ！,No way!
06185.sfm,0x653D,16,,迷っちまったか？,Couldn't decide?
06185.sfm,0x654E,65,,"レンズハンター団「漆黒の翼」
そのメンバーでないのは次のうち誰だ？","Which of these is NOT a member of the
Lens hunter group 'Jet-Black Wings'?"
06185.sfm,0x6590,26,,こんなヤツ、いなかったよな,"There was no guy like that
with them."
06185.sfm,0x65AB,16,,ちゃーんといたぜ,He was definitely there.
06185.sfm,0x65BC,16,,いたんじゃないか,"She was there, wasn't she?"
06185.sfm,0x65CD,30,,ハラ空かせてたのをおぼえてるぜ,I remember him being hungry.
06185.sfm,0x65EC,29,,"どうした？
わからなかったか？","What's wrong?
Didn't know?"
06185.sfm,0x660A,49,,"冒険出発の際
ルーティさんがくれたものでないのは？","Which of these was NOT something Rutee
gave us when we set out on our adventure?"
06185.sfm,0x663C,44,,"ソーサラーリングは
<Judas>からもらったんだよな","We got the Sorcerer's Ring
from <Judas>."
06185.sfm,0x6669,20,,冒険には地図だよな！,Gotta have a map for an adventure!
06185.sfm,0x669B,16,,覚えてないのか？,Don't remember?
06185.sfm,0x66AC,87,,"アイグレッテで
だまされてばかりの青年が
だますほうにまわろうとして
売ろうとしたものは？","The young man in Aigrette who keeps
getting conned tried to become the
conman. What did he try to sell?"
06185.sfm,0x6704,4,,ツボ,A pot
06185.sfm,0x6709,8,,フジツボ,A barnacle
06185.sfm,0x6712,8,,タコツボ,An octopus pot
06185.sfm,0x671B,6,,ウツボ,A moray eel
06185.sfm,0x6722,76,,"自分で「あやしげなツボ」とか
言っていたな
あの仕事はむいてねえんじゃねえの？","He called it a 'suspicious pot'
himself. He's really not cut
out for that line of work."
06185.sfm,0x676F,8,,惜しい！,Close!
06185.sfm,0x6778,30,,買うとしあわせになれるらしいぞ,"Apparently it brings happiness
if you buy it."
06185.sfm,0x6797,41,,"ストレイライズ遺跡の
パズル部屋の答えは？","What's the answer to the puzzle
room in the Straylize Ruins?"
06185.sfm,0x67C1,14,,ＤＥＳＴＩＮＹ,DESTINY
06185.sfm,0x67D0,12,,ＤＩＭＬＯＳ,DIMLOS
06185.sfm,0x67DD,20,,ＤＥＶＩＬＳＲＥＥＦ,DEVILSREEF
06185.sfm,0x67F2,14,,ＤＵＮＧＥＯＮ,DUNGEON
06185.sfm,0x6801,16,,よく覚えてたな！,You remembered!
06185.sfm,0x6812,14,,そうだったか？,Was that it?
06185.sfm,0x6821,19,,<Nanaly>の弟の名前は？,"What's the name of
<Nanaly>'s little brother?"
06185.sfm,0x6835,4,,ルー,Rue
06185.sfm,0x683A,6,,ガッツ,Guts
06185.sfm,0x6841,8,,ブレイブ,Brave
06185.sfm,0x684A,12,,ジャスティス,Justice
06185.sfm,0x6857,12,,フロンティア,Frontier
06185.sfm,0x6864,8,,トゥルー,True
06185.sfm,0x686D,8,,ドリーム,Dream
06185.sfm,0x6876,12,,そうだったな,That's right.
06185.sfm,0x6883,6,,違うな,Nope.
06185.sfm,0x688A,30,,定期船を襲った海の主の名前は？,"What was the name of the sea lord
that attacked the ferry?"
06185.sfm,0x68A9,12,,シースラッグ,Sea Slug
06185.sfm,0x68B6,16,,ウィルオウィスプ,Will-o'-the-Wisp
06185.sfm,0x68C7,33,,"正解！
二度も戦うハメになったよな","Correct!
We ended up fighting it twice."
06185.sfm,0x68E9,29,,"残念！
それは船内で戦った敵だ","Too bad!
That's an enemy we fought inside the ship."
06185.sfm,0x6907,24,,ヒートリバーで戦った敵だ,That's an enemy we fought at Heat River.
06185.sfm,0x6920,16,,忘れちまったか？,Forgot already?
06185.sfm,0x6931,30,,リファインはレンズと何を使う？,Refining uses Lens and what else?
06185.sfm,0x6950,16,,パナシーアボトル,Panacea Bottle
06185.sfm,0x6961,12,,ダークボトル,Dark Bottle
06185.sfm,0x696E,18,,あやしげな薬品だ！,A suspicious potion!
06185.sfm,0x6981,26,,それは戦闘不能回復だろぉ？,"That's for reviving, right?"
06185.sfm,0x699C,39,,"万能薬っていっても
そこまではできねぇぜ","It's a cure-all, but it
can't do THAT much."
06185.sfm,0x69C4,41,,"おいおい
モンスターが寄ってきちまうぜ！？","Hey, hey!
That'd attract monsters!"
06185.sfm,0x69EE,14,,迷いすぎだな！,You hesitated too long!
06185.sfm,0x69FD,70,,"白雲の尾根
山小屋にある旅人の為の食料等は
誰が寄贈してるか知ってるか？","Know who donates the food and supplies
for travelers in the mountain hut
on the White Cloud Ridge?"
06185.sfm,0x6A44,10,,コングマン,Kongman
06185.sfm,0x6A4F,8,,フィリア,Philia
06185.sfm,0x6A58,28,,あぁ見えて優しい人なんだな！,"He's a kind guy, despite
how he looks!"
06185.sfm,0x6A75,43,,"フィリアさんなら
やってもおかしくないけどな","It wouldn't be strange if
Philia did, but..."
06185.sfm,0x6AA1,41,,"幸福のためったって
そこまではしねぇよなぁ","Even for the sake of happiness,
she wouldn't go that far."
06185.sfm,0x6ACB,55,,"ルーティさんは孤児院の経営で
いっぱいいっぱいだと思うぜ","Rutee's got her hands full
running the orphanage."
06185.sfm,0x6B03,23,,"あれ？
見たことないか？","Huh?
Never seen it?"
06185.sfm,0x6B1B,66,,"「漆黒の翼」のグリッド
戦闘からの離脱の速さゆえに
ついたあざ名は？","What nickname did Grid of the
'Jet-Black Wings' earn for how
quickly he flees from battle?"
06185.sfm,0x6B5E,12,,音速の貴公子,Sonic Noble
06185.sfm,0x6B6B,12,,秒速の貴公子,Per-Second Noble
06185.sfm,0x6B78,12,,光速の貴公子,Lightspeed Noble
06185.sfm,0x6B85,14,,マッハの貴公子,Mach Noble
06185.sfm,0x6B94,30,,正解！････とはいいたくねぇがな,Correct! ...Not that I want to say it.
